epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,209.106,1.07624,6.59861,0.01282,0.48361,0.54755,0.50533,0.34384,1.07808,6.98775,0.01673,0.000415556,0.000415556,0.000415556
2,417.886,1.1894,3.41577,0.01428,0.69523,0.57105,0.6524,0.43413,1.23726,2.90749,0.01642,0.000832132,0.000832132,0.000832132
3,577.739,1.27236,2.04759,0.01511,0.64991,0.62544,0.66529,0.42658,1.29597,1.96322,0.021,0.00124835,0.00124835,0.00124835
4,752.257,1.25676,1.68494,0.01535,0.63636,0.68788,0.6933,0.45501,1.24318,1.52557,0.01833,0.00124878,0.00124878,0.00124878
5,951.405,1.2439,1.45145,0.0152,0.74333,0.7126,0.77026,0.48936,1.25541,1.29909,0.02082,0.00124783,0.00124783,0.00124783
6,1125.7,1.20805,1.37198,0.01403,0.80964,0.71609,0.79974,0.51932,1.25976,1.12016,0.02081,0.00124661,0.00124661,0.00124661
7,1282.58,1.17656,1.22576,0.01351,0.78368,0.74997,0.80752,0.56533,1.1001,1.09794,0.0147,0.00124512,0.00124512,0.00124512
8,1465.52,1.19047,1.27135,0.0136,0.74867,0.74537,0.79429,0.53488,1.1516,1.15561,0.01722,0.00124336,0.00124336,0.00124336
9,1619.89,1.19162,1.21232,0.01363,0.79605,0.79041,0.83261,0.58657,1.08179,0.95112,0.01381,0.00124134,0.00124134,0.00124134
10,1769.88,1.16232,1.1724,0.01336,0.80704,0.75656,0.82792,0.58163,1.11004,0.98572,0.01501,0.00123904,0.00123904,0.00123904
11,1932.82,1.13757,1.10796,0.01271,0.7819,0.79653,0.83286,0.5848,1.08467,0.93978,0.01453,0.00123648,0.00123648,0.00123648
12,2085.06,1.15817,1.06775,0.01327,0.80863,0.77068,0.81795,0.56949,1.16117,0.98704,0.01655,0.00123365,0.00123365,0.00123365
13,2232.89,1.11543,1.03962,0.01258,0.8166,0.78951,0.84035,0.59589,1.06545,1.09997,0.01406,0.00123056,0.00123056,0.00123056
14,2383.31,1.13034,1.05281,0.01242,0.82094,0.79099,0.84258,0.61788,1.02729,0.94346,0.01339,0.00122721,0.00122721,0.00122721
15,2530.3,1.10716,0.99907,0.01233,0.83459,0.80794,0.85867,0.61175,1.08078,0.81385,0.01389,0.00122359,0.00122359,0.00122359
16,2677.74,1.10872,1.00615,0.01216,0.80859,0.82489,0.86646,0.6192,1.04577,0.79919,0.0135,0.00121972,0.00121972,0.00121972
17,2825.5,1.09955,0.97509,0.01228,0.84309,0.8057,0.87222,0.60471,1.0812,0.80083,0.01518,0.00121558,0.00121558,0.00121558
18,2973.35,1.0901,0.95246,0.012,0.83512,0.79434,0.85467,0.59898,1.12832,0.83437,0.01486,0.00121119,0.00121119,0.00121119
19,3120.82,1.07303,0.94824,0.01174,0.82702,0.8194,0.86149,0.62715,1.02752,0.89226,0.0131,0.00120655,0.00120655,0.00120655
20,3323.37,1.09701,0.91363,0.01223,0.83516,0.79792,0.86419,0.61731,1.08864,0.81615,0.01394,0.00120165,0.00120165,0.00120165
21,3475.18,1.07186,0.92722,0.0118,0.83705,0.82422,0.86852,0.64232,1.0051,0.74982,0.01243,0.00119651,0.00119651,0.00119651
22,3624.67,1.06338,0.94228,0.01162,0.86081,0.82265,0.8695,0.60682,1.08873,0.79209,0.017,0.00119111,0.00119111,0.00119111
23,3772.85,1.07154,0.9108,0.01188,0.84955,0.81966,0.8697,0.63446,1.01834,0.80596,0.0136,0.00118547,0.00118547,0.00118547
24,3922.43,1.04938,0.88489,0.0113,0.86139,0.8413,0.87516,0.62453,1.03138,0.79342,0.01354,0.00117959,0.00117959,0.00117959
25,4071.2,1.06481,0.84755,0.01152,0.84175,0.83701,0.86944,0.63558,1.02807,0.73819,0.01325,0.00117346,0.00117346,0.00117346
26,4222.21,1.07181,0.90935,0.01188,0.85196,0.80484,0.87116,0.62805,1.03847,0.77962,0.01415,0.0011671,0.0011671,0.0011671
27,4373,1.06511,0.92298,0.0113,0.87555,0.82504,0.88431,0.63178,1.04028,0.7318,0.01413,0.00116051,0.00116051,0.00116051
28,4522.42,1.03649,0.87686,0.01167,0.86538,0.82381,0.88154,0.64874,1.01547,0.76661,0.01298,0.00115368,0.00115368,0.00115368
29,4671.95,1.02869,0.84961,0.01091,0.89856,0.81298,0.88753,0.65529,1.00837,0.70573,0.01253,0.00114662,0.00114662,0.00114662
30,4820.29,1.0116,0.84325,0.01084,0.85917,0.85367,0.87877,0.62637,1.07391,0.75373,0.01532,0.00113934,0.00113934,0.00113934
31,4969.83,1.04247,0.86546,0.0115,0.87589,0.85917,0.89479,0.66598,0.98784,0.67296,0.01221,0.00113183,0.00113183,0.00113183
32,5118.1,1.04384,0.82446,0.01114,0.85728,0.85696,0.88286,0.64938,1.00757,0.7114,0.01325,0.0011241,0.0011241,0.0011241
33,5267.35,1.00752,0.80662,0.01088,0.8666,0.8382,0.88376,0.65937,1.00028,0.69241,0.01234,0.00111616,0.00111616,0.00111616
34,5416.46,1.01847,0.85639,0.01113,0.88723,0.84963,0.88733,0.64581,1.02078,0.71464,0.01332,0.00110801,0.00110801,0.00110801
